"","x"
"1",31
"2",29
"3",23
"4",34
"5",39
"6",32
"7",28
"8",29
"9",33
"10",30
"11",36
"12",39
"13",31
"14",26
"15",36
"16",24
"17",39
"18",48
"19",25
"20",40
"21",19
"22",37
"23",39
"24",38
"25",27
"26",37
"27",43
"28",42
"29",41
"30",34
"31",13
"32",1
"33",34
"34",22
"35",23
"36",35
"37",51
"38",2
"39",-5
"40",48
"41",19
"42",-31
"43",-36
"44",25
"45",-22
"46",50
"47",37
"48",10
"49",44
"50",51
"51",41
"52",-30
"53",12
"54",55
"55",59
"56",37
"57",31
"58",27
"59",41
"60",9
"61",56
"62",42
"63",34
"64",33
"65",37
"66",47
"67",33
